,xgb_prob,dnn_prob,garch_vol
2017-08-31,0.8695007,1.0,
2017-09-01,0.35060355,1.0,
2017-09-02,0.5532864,1.0,
2017-09-03,0.49016413,1.0,
2017-09-04,0.8079409,0.99843127,
2017-09-05,0.67502,1.0,
2017-09-06,0.76080835,1.0,
2017-09-07,0.281962,1.0,
2017-09-08,0.22173871,1.0,
2017-09-09,0.11535953,1.0,
2017-09-10,0.39500457,1.0,
2017-09-11,0.31447268,1.0,
2017-09-12,0.29273856,1.0,
2017-09-13,0.18127263,1.0,
2017-09-14,0.9325453,0.0,
2017-09-15,0.8109185,0.0,
2017-09-16,0.6585991,0.98589015,
2017-09-17,0.64039016,1.0,
2017-09-18,0.13996795,1.0,
2017-09-19,0.20637372,1.0,
2017-09-20,0.18340449,1.0,
2017-09-21,0.18946232,1.0,
2017-09-22,0.69631404,1.0,
2017-09-23,0.27186185,1.0,
2017-09-24,0.70439684,1.0,
2017-09-25,0.20901573,1.0,
2017-09-26,0.7053165,1.0,
2017-09-27,0.12626386,1.0,
2017-09-28,0.7859161,1.0,
2017-09-29,0.74807215,0.004657839,
2017-09-30,0.32296827,1.0,
2017-10-01,0.67067415,1.0,
2017-10-02,0.25621298,1.0,
2017-10-03,0.28388214,1.0,
2017-10-04,0.593111,1.0,
2017-10-05,0.8704698,1.0,
2017-10-06,0.8311364,1.0,
2017-10-07,0.8311364,1.0,
2017-10-08,0.81413007,1.0,
2017-10-09,0.44585127,1.0,
2017-10-10,0.72488064,1.0,
2017-10-11,0.6788039,1.0,
2017-10-12,0.82997954,1.0,
2017-10-13,0.84079325,1.0,
2017-10-14,0.35451463,1.0,
2017-10-15,0.6787821,1.0,
2017-10-16,0.43792227,1.0,
2017-10-17,0.5894457,1.0,
2017-10-18,0.77940947,1.0,
2017-10-19,0.77940947,1.0,
2017-10-20,0.6572257,1.0,
2017-10-21,0.39855662,1.0,
2017-10-22,0.32709336,1.0,
2017-10-23,0.42855906,1.0,
2017-10-24,0.80472237,0.99557364,
2017-10-25,0.7986795,1.0,
2017-10-26,0.2946816,1.0,
2017-10-27,0.3632017,1.0,
2017-10-28,0.6351835,1.0,
2017-10-29,0.3284063,1.0,
2017-10-30,0.5516843,1.0,
2017-10-31,0.78978485,1.0,
2017-11-01,0.60546947,1.0,
2017-11-02,0.75792503,1.0,
2017-11-03,0.75792503,1.0,
2017-11-04,0.4902285,1.0,
2017-11-05,0.28623825,1.0,
2017-11-06,0.7461878,1.0,
2017-11-07,0.668215,1.0,
2017-11-08,0.39639023,1.0,
2017-11-09,0.3581237,1.0,
2017-11-10,0.077796526,3.64579e-08,
2017-11-11,0.3601445,3.66632e-08,
2017-11-12,0.85779,0.0,
2017-11-13,0.79565126,0.9999999,
2017-11-14,0.6573114,1.0,
2017-11-15,0.81028104,1.0,
2017-11-16,0.4158,1.0,
2017-11-17,0.78630376,0.8068665,
2017-11-18,0.841699,0.9925056,
2017-11-19,0.8133399,1.0,
2017-11-20,0.40973938,1.0,
2017-11-21,0.6809313,1.2920504e-21,
2017-11-22,0.20595795,1.0,
2017-11-23,0.589422,0.9725804,
2017-11-24,0.6994825,5.199381e-13,
2017-11-25,0.6645948,1.0,
2017-11-26,0.78692764,1.0,
2017-11-27,0.7890047,1.0,
2017-11-28,0.6039316,1.0,
2017-11-29,0.6731338,1.0,
2017-11-30,0.795491,1.0,
2017-12-01,0.95246017,1.864513e-14,
2017-12-02,0.95246017,1.0,
2017-12-03,0.9440118,1.0,
2017-12-04,0.9276186,1.0,
2017-12-05,0.9057408,1.0,
2017-12-06,0.7533151,1.0,
2017-12-07,0.25979358,1.0,
2017-12-08,0.22314315,1.0,
2017-12-09,0.72570974,1.0,
2017-12-10,0.7182485,1.0,
2017-12-11,0.21563114,1.0,
2017-12-12,0.37692896,1.0,
2017-12-13,0.70728546,1.0,
2017-12-14,0.6193295,1.0,
2017-12-15,0.68211514,1.0,
2017-12-16,0.17254288,1.0,
2017-12-17,0.1353187,1.0,
2017-12-18,0.091289654,1.0,
2017-12-19,0.046917338,1.0,
2017-12-20,0.050018895,1.0,
2017-12-21,0.0683927,1.0,
2017-12-22,0.44057038,1.0,
2017-12-23,0.69613975,1.0,
2017-12-24,0.86664313,1.0,
2017-12-25,0.7314952,1.0,
2017-12-26,0.073165335,1.0,
2017-12-27,0.16171335,1.0,
2017-12-28,0.90147275,1.0,
2017-12-29,0.43197387,1.0,
2017-12-30,0.92146933,1.0,
2017-12-31,0.30700305,0.0,
2018-01-01,0.71830744,0.0,
2018-01-02,0.55668354,1.0,
2018-01-03,0.83600044,1.0,
2018-01-04,0.7006915,1.0,
2018-01-05,0.5587551,1.0,
2018-01-06,0.38496095,1.0,
2018-01-07,0.10839351,0.0,
2018-01-08,0.44565666,1.0,
2018-01-09,0.7875889,0.0,
2018-01-10,0.24168465,1.0,
2018-01-11,0.90637386,1.0,
2018-01-12,0.679266,4.495897e-17,
2018-01-13,0.5115556,0.0,
2018-01-14,0.6166488,1.3759624e-10,
2018-01-15,0.27170342,0.0,
2018-01-16,0.80595636,0.0,
2018-01-17,0.4589895,0.0,
2018-01-18,0.65220755,1.0,
2018-01-19,0.88225377,1.0,
2018-01-20,0.2820463,1.0,
2018-01-21,0.2552215,1.0,
2018-01-22,0.5879337,1.0,
2018-01-23,0.7022168,1.0,
2018-01-24,0.36191308,1.0,
2018-01-25,0.33568323,0.0,
2018-01-26,0.660101,0.99999994,
2018-01-27,0.50210035,0.0,
2018-01-28,0.24266307,0.0,
2018-01-29,0.258336,0.0,
2018-01-30,0.4456226,1.0,
2018-01-31,0.36836982,0.0,
2018-02-01,0.2155566,1.0,
2018-02-02,0.6956569,5.6997257e-37,
2018-02-03,0.16193704,1.0,
2018-02-04,0.4214733,1.0,
2018-02-05,0.9080693,0.0,
2018-02-06,0.43981993,0.9996338,
2018-02-07,0.80259424,1.1358806e-09,
2018-02-08,0.8077016,1.0,
2018-02-09,0.2463261,1.18019995e-11,
2018-02-10,0.4763892,1.0,
2018-02-11,0.62101203,1.0,
2018-02-12,0.37017697,1.0,
2018-02-13,0.50844884,1.0,
2018-02-14,0.6453632,1.0,
2018-02-15,0.8358693,1.0,
2018-02-16,0.6088675,1.0,
2018-02-17,0.47156885,1.0,
2018-02-18,0.73123336,1.0,
2018-02-19,0.6569733,1.0,
2018-02-20,0.27314433,1.0,
2018-02-21,0.43504414,1.0,
2018-02-22,0.40579778,1.0,
2018-02-23,0.42730746,1.0,
2018-02-24,0.29201943,1.0,
2018-02-25,0.40171248,1.0,
2018-02-26,0.56527996,1.0,
2018-02-27,0.58421683,1.0,
2018-02-28,0.81552434,1.0,
2018-03-01,0.70249313,1.0,
2018-03-02,0.6652358,1.0,
2018-03-03,0.6652358,6.4951813e-09,
2018-03-04,0.20691498,1.0,
2018-03-05,0.2475503,1.0,
2018-03-06,0.42465502,1.0,
2018-03-07,0.26783133,0.9999753,
2018-03-08,0.14657255,0.0007207265,
2018-03-09,0.42422247,1.6421682e-06,
2018-03-10,0.6192738,1.0,
2018-03-11,0.20243444,1.8016173e-10,
2018-03-12,0.32690796,3.2274508e-10,
2018-03-13,0.38373235,0.9994546,
2018-03-14,0.713112,2.9136953e-18,
2018-03-15,0.7916696,0.9625445,
2018-03-16,0.19167265,0.00015219519,
2018-03-17,0.87561077,1.0,
2018-03-18,0.93489945,1.0,
2018-03-19,0.70524585,1.0,
2018-03-20,0.18926843,1.0,
2018-03-21,0.23546751,1.0,
2018-03-22,0.57875085,1.0,
2018-03-23,0.2948495,1.0,
2018-03-24,0.2716985,1.0,
2018-03-25,0.34076056,1.0,
2018-03-26,0.34758294,1.0,
2018-03-27,0.55439293,2.216261e-06,
2018-03-28,0.25457755,1.0,
2018-03-29,0.6243178,4.4092485e-10,
2018-03-30,0.72257835,0.00018330803,
2018-03-31,0.4858755,1.9172392e-12,
2018-04-01,0.5887434,0.000424026,
2018-04-02,0.7087378,0.99999976,
2018-04-03,0.36351717,1.0,
2018-04-04,0.22172467,1.0,
2018-04-05,0.19316511,1.0,
2018-04-06,0.7525116,1.0,
2018-04-07,0.8643009,1.0,
2018-04-08,0.58785987,0.9999769,
2018-04-09,0.8473985,1.0,
2018-04-10,0.60494703,1.0,
2018-04-11,0.60494703,1.0,
2018-04-12,0.40807277,1.0,
2018-04-13,0.67887026,1.0,
2018-04-14,0.74595505,1.0,
2018-04-15,0.5052613,1.0,
2018-04-16,0.49164855,1.0,
2018-04-17,0.73143625,1.0,
2018-04-18,0.644219,1.0,
2018-04-19,0.644219,1.0,
2018-04-20,0.631156,1.0,
2018-04-21,0.5176901,1.0,
2018-04-22,0.6260483,1.0,
2018-04-23,0.60320264,1.0,
2018-04-24,0.3788589,1.0,
2018-04-25,0.73344326,1.0,
2018-04-26,0.5175382,1.0,
2018-04-27,0.6635803,0.9999978,
2018-04-28,0.76042205,1.0,
2018-04-29,0.35027018,1.0,
2018-04-30,0.34689116,1.0,
2018-05-01,0.4544544,0.9999999,
2018-05-02,0.44015986,1.0,
2018-05-03,0.4914338,1.0,
2018-05-04,0.45396674,1.0,
2018-05-05,0.34057778,0.9999982,
2018-05-06,0.35323182,1.0,
2018-05-07,0.39109954,1.0,
2018-05-08,0.6755246,1.0,
2018-05-09,0.33919966,1.0,
2018-05-10,0.4671664,1.0,
2018-05-11,0.5323534,0.55816835,
2018-05-12,0.35788646,4.5048148e-07,
2018-05-13,0.28945664,1.0,
2018-05-14,0.4087168,0.046870515,
2018-05-15,0.3789174,1.0,
2018-05-16,0.48010656,1.0,
2018-05-17,0.86917824,1.0,
2018-05-18,0.22883807,1.0,
2018-05-19,0.79959995,1.0,
2018-05-20,0.18770042,1.0,
2018-05-21,0.23333126,1.0,
2018-05-22,0.2623266,1.0,
2018-05-23,0.48325646,0.99995965,
2018-05-24,0.42346781,0.9999936,
2018-05-25,0.31184974,1.0,
2018-05-26,0.46475405,1.0,
2018-05-27,0.41979748,1.0,
2018-05-28,0.89538425,1.0,
2018-05-29,0.34143215,1.0,
2018-05-30,0.6662143,1.0,
2018-05-31,0.7496207,1.0,
2018-06-01,0.6090894,1.0,
2018-06-02,0.43493614,1.0,
2018-06-03,0.54253465,1.0,
2018-06-04,0.6871911,1.0,
2018-06-05,0.7429988,1.0,
2018-06-06,0.6427663,1.0,
2018-06-07,0.43917155,1.0,
2018-06-08,0.43917155,1.0,
2018-06-09,0.41855502,1.0,
2018-06-10,0.55801284,1.0,
2018-06-11,0.5998494,0.98970765,
2018-06-12,0.28320748,0.00015078996,
2018-06-13,0.77975947,0.040667854,
2018-06-14,0.15290599,1.0,
2018-06-15,0.762175,0.9988366,
2018-06-16,0.2931023,1.0,
2018-06-17,0.7875604,0.99999994,
2018-06-18,0.67161274,1.0,
2018-06-19,0.44828886,1.0,
2018-06-20,0.29487696,1.0,
2018-06-21,0.24746944,1.0,
2018-06-22,0.8896983,1.0,
2018-06-23,0.39750504,1.0,
2018-06-24,0.6190605,1.0,
2018-06-25,0.6140892,1.0,
2018-06-26,0.585576,1.0,
2018-06-27,0.38089415,1.0,
2018-06-28,0.87133926,1.0,
2018-06-29,0.743182,1.0,
2018-06-30,0.6145125,1.0,
2018-07-01,0.8002679,1.0,
2018-07-02,0.31389767,1.0,
2018-07-03,0.62718713,1.0,
2018-07-04,0.17764875,1.0,
2018-07-05,0.68567914,1.0,
2018-07-06,0.71308565,1.0,
2018-07-07,0.60103023,1.0,
2018-07-08,0.18708965,1.0,
2018-07-09,0.19372517,1.0,
2018-07-10,0.7128645,1.0,
2018-07-11,0.583017,0.97717756,
2018-07-12,0.3087877,1.0,
2018-07-13,0.7272548,1.0,
2018-07-14,0.6921382,0.9999999,
2018-07-15,0.82872117,1.0,
2018-07-16,0.58348113,1.0,
2018-07-17,0.76261115,1.0,
2018-07-18,0.662597,1.0,
2018-07-19,0.4556329,1.0,
2018-07-20,0.56066793,1.0,
2018-07-21,0.61953574,1.0,
2018-07-22,0.53532803,1.0,
2018-07-23,0.52108735,1.0,
2018-07-24,0.30833033,1.0,
2018-07-25,0.16908309,1.0,
2018-07-26,0.5674812,1.0,
2018-07-27,0.599999,1.0,
2018-07-28,0.41332656,1.0,
2018-07-29,0.4835723,1.0,
2018-07-30,0.32107103,1.0,
2018-07-31,0.32096693,1.0,
2018-08-01,0.39817563,1.0,
2018-08-02,0.4460232,1.0,
2018-08-03,0.30738625,1.0,
2018-08-04,0.44693545,0.004380595,
2018-08-05,0.3770537,6.6459642e-09,
2018-08-06,0.35740492,4.8223535e-07,
2018-08-07,0.14999254,0.9999989,
2018-08-08,0.8070039,0.99999404,
2018-08-09,0.33431196,1.0,
2018-08-10,0.89263415,1.0,
2018-08-11,0.7540891,1.0,
2018-08-12,0.27668002,1.0,
2018-08-13,0.2880268,1.0,
2018-08-14,0.88510346,1.0,
2018-08-15,0.91389436,1.0,
2018-08-16,0.7912333,1.0,
2018-08-17,0.40373003,1.0,
2018-08-18,0.85162187,1.0,
2018-08-19,0.1070345,1.0,
2018-08-20,0.80499697,1.0,
2018-08-21,0.22698885,1.0,
2018-08-22,0.85750026,1.0,
2018-08-23,0.6067319,1.0,
2018-08-24,0.42854592,1.0,
2018-08-25,0.35241526,0.99999917,
2018-08-26,0.49678192,1.0,
2018-08-27,0.6230816,1.0,
2018-08-28,0.1798278,1.0,
2018-08-29,0.37856466,1.0,
2018-08-30,0.7619223,1.0,
2018-08-31,0.7394718,1.0,
2018-09-01,0.7476605,1.0,
2018-09-02,0.3801561,1.0,
2018-09-03,0.64808637,1.0,
2018-09-04,0.49393576,1.0,
2018-09-05,0.09701909,1.0,
2018-09-06,0.42865774,1.0,
2018-09-07,0.503532,1.0,
2018-09-08,0.8443032,0.9914295,
2018-09-09,0.85792696,1.0,
2018-09-10,0.61128527,1.0,
2018-09-11,0.8146897,1.0,
2018-09-12,0.73466015,1.0,
2018-09-13,0.24041389,1.0,
2018-09-14,0.8413303,1.0,
2018-09-15,0.53835297,1.0,
2018-09-16,0.35054573,1.0,
2018-09-17,0.83590627,1.0,
2018-09-18,0.8841392,1.0,
2018-09-19,0.7680853,1.0,
2018-09-20,0.54977596,1.0,
2018-09-21,0.5049397,1.0,
2018-09-22,0.40697825,0.99999976,
2018-09-23,0.44296327,1.0,
2018-09-24,0.25999698,1.0,
2018-09-25,0.8505689,1.0,
2018-09-26,0.85143006,1.0,
2018-09-27,0.16263744,1.0,
2018-09-28,0.19334102,1.0,
2018-09-29,0.518486,0.99999976,
2018-09-30,0.37744793,1.0,
2018-10-01,0.36133525,1.0,
2018-10-02,0.3570692,0.9999903,
2018-10-03,0.5802923,0.99978846,
2018-10-04,0.5632717,1.0,
2018-10-05,0.5118785,1.0,
2018-10-06,0.59077513,2.8921663e-08,
2018-10-07,0.38086078,0.99998087,
2018-10-08,0.3759449,1.0,
2018-10-09,0.17111841,1.0,
2018-10-10,0.2504079,1.0,
2018-10-11,0.9054415,1.0,
2018-10-12,0.78127044,0.07660373,
2018-10-13,0.7874911,1.0,
2018-10-14,0.81109023,1.0,
2018-10-15,0.88937217,1.0,
2018-10-16,0.15950902,1.0,
2018-10-17,0.07957203,1.0,
2018-10-18,0.18838692,1.0,
2018-10-19,0.69486755,1.0,
2018-10-20,0.5599114,0.99999994,
2018-10-21,0.5341015,0.0,
2018-10-22,0.29449543,1.0,
2018-10-23,0.38039595,1.0,
2018-10-24,0.3406044,1.3992053e-09,
2018-10-25,0.43063492,0.99619627,
2018-10-26,0.30558783,1.0,
2018-10-27,0.06363975,1.3174276e-06,
2018-10-28,0.06363975,0.0,
2018-10-29,0.23021108,1.0,
2018-10-30,0.8552955,0.6198375,
2018-10-31,0.9191337,3.943687e-15,
2018-11-01,0.9498939,0.27245334,
2018-11-02,0.66333836,2.2894212e-05,
2018-11-03,0.9173034,4.0063967e-14,
2018-11-04,0.24828021,3.1506773e-11,
2018-11-05,0.90187293,0.89207846,
2018-11-06,0.52677715,1.14836305e-20,
2018-11-07,0.28483748,1.0,
2018-11-08,0.23800161,1.0,
2018-11-09,0.8745044,1.6714251e-21,
2018-11-10,0.93850297,2.4729949e-11,
2018-11-11,0.89347655,0.99999994,
2018-11-12,0.5120993,1.4513537e-05,
2018-11-13,0.5058522,1.8100877e-17,
2018-11-14,0.22806685,1.0,
2018-11-15,0.1672139,1.0,
2018-11-16,0.30210817,0.99999803,
2018-11-17,0.68285096,5.6599583e-05,
2018-11-18,0.31343853,1.0,
2018-11-19,0.2167672,1.0,
2018-11-20,0.53285307,1.0,
2018-11-21,0.2903212,1.0,
2018-11-22,0.6880834,2.522346e-16,
2018-11-23,0.24517404,0.99999976,
2018-11-24,0.8755321,0.9959094,
2018-11-25,0.42207122,1.0,
2018-11-26,0.89772844,1.0,
2018-11-27,0.904181,1.0,
2018-11-28,0.8352448,1.0,
2018-11-29,0.23141478,1.0,
2018-11-30,0.50563246,1.0,
2018-12-01,0.14302443,1.0,
2018-12-02,0.22420353,1.0,
2018-12-03,0.59409523,1.0,
2018-12-04,0.30878982,1.0,
2018-12-05,0.1724205,1.0,
2018-12-06,0.5399414,1.0,
2018-12-07,0.82472336,1.0,
2018-12-08,0.8773319,1.0,
2018-12-09,0.18763077,1.0,
2018-12-10,0.24628311,1.0,
2018-12-11,0.6592312,1.0,
2018-12-12,0.13699184,1.0,
2018-12-13,0.23704089,1.0,
2018-12-14,0.13835308,1.0,
2018-12-15,0.9522237,1.0,
2018-12-16,0.9541286,1.0,
2018-12-17,0.8464343,1.0,
2018-12-18,0.9374678,1.0,
2018-12-19,0.94927526,1.0,
2018-12-20,0.1297935,1.0,
2018-12-21,0.8560974,1.0,
2018-12-22,0.078644074,1.0,
2018-12-23,0.6000462,1.0,
2018-12-24,0.11719207,1.0,
2018-12-25,0.87690586,1.0,
2018-12-26,0.25866503,1.0,
2018-12-27,0.5141239,1.0,
2018-12-28,0.1712027,1.0,
2018-12-29,0.7026093,1.0,
2018-12-30,0.41126454,1.0,
2018-12-31,0.8143427,1.0,
2019-01-01,0.5285157,1.0,
2019-01-02,0.62199754,1.0,
2019-01-03,0.82527685,1.0,
2019-01-04,0.42716968,1.0,
2019-01-05,0.7321492,1.0,
2019-01-06,0.22160177,1.0,
2019-01-07,0.19794224,1.0,
2019-01-08,0.37800476,1.0,
2019-01-09,0.4288936,1.0,
2019-01-10,0.82121205,1.0,
2019-01-11,0.39756006,1.0,
2019-01-12,0.51654696,1.0,
2019-01-13,0.6341418,1.0,
2019-01-14,0.31851938,1.0,
2019-01-15,0.6365951,1.0,
2019-01-16,0.58233786,1.0,
2019-01-17,0.58387977,1.0,
2019-01-18,0.6144677,1.0,
2019-01-19,0.46166235,1.0,
2019-01-20,0.40708143,1.0,
2019-01-21,0.524533,1.0,
2019-01-22,0.14981242,1.0,
2019-01-23,0.5848965,1.0,
2019-01-24,0.27566653,1.0,
2019-01-25,0.19684191,1.0,
2019-01-26,0.2074872,1.0,
2019-01-27,0.19571085,1.0,
2019-01-28,0.16861314,1.0,
2019-01-29,0.7834112,1.0,
2019-01-30,0.36788616,1.0,
2019-01-31,0.6748363,1.0,
2019-02-01,0.7867197,1.0,
2019-02-02,0.29943278,1.0,
2019-02-03,0.8150206,1.0,
2019-02-04,0.82787997,1.0,
2019-02-05,0.41119644,1.0,
2019-02-06,0.32893857,1.0,
2019-02-07,0.7262494,1.0,
2019-02-08,0.71926665,1.0,
2019-02-09,0.855531,1.0,
2019-02-10,0.21497221,1.0,
2019-02-11,0.587969,1.0,
2019-02-12,0.42670277,1.0,
2019-02-13,0.38191158,1.0,
2019-02-14,0.7388697,1.0,
2019-02-15,0.92616427,1.0,
2019-02-16,0.883702,1.0,
2019-02-17,0.9545578,1.0,
2019-02-18,0.9574776,1.0,
2019-02-19,0.9574776,1.0,
2019-02-20,0.3292896,1.0,
2019-02-21,0.74538386,1.0,
2019-02-22,0.6030896,1.0,
2019-02-23,0.23526555,1.0,
2019-02-24,0.9352301,1.0,
2019-02-25,0.2074711,1.0,
2019-02-26,0.43902814,1.0,
2019-02-27,0.40767306,1.0,
2019-02-28,0.7146778,1.0,
2019-03-01,0.30218378,1.0,
2019-03-02,0.27394897,1.0,
2019-03-03,0.21874157,0.74866784,
2019-03-04,0.7288219,1.0,
2019-03-05,0.5338131,1.0,
2019-03-06,0.76464385,1.0,
2019-03-07,0.48033,1.0,
2019-03-08,0.6500542,1.0,
2019-03-09,0.3168447,1.0,
2019-03-10,0.5591824,1.0,
2019-03-11,0.5872277,1.0,
2019-03-12,0.41382986,1.0,
2019-03-13,0.73178697,1.0,
2019-03-14,0.7504912,1.0,
2019-03-15,0.7104491,1.0,
2019-03-16,0.49718532,1.0,
2019-03-17,0.8153226,1.0,
2019-03-18,0.68059206,1.0,
2019-03-19,0.7272075,1.0,
2019-03-20,0.6293047,1.0,
2019-03-21,0.7028923,1.0,
2019-03-22,0.8255687,1.0,
2019-03-23,0.4176349,0.9935617,
2019-03-24,0.31634825,0.9975803,
2019-03-25,0.7180051,1.0,
2019-03-26,0.66293854,1.0,
2019-03-27,0.4686362,1.0,
2019-03-28,0.7778245,1.0,
2019-03-29,0.74164736,1.0,
2019-03-30,0.74705255,1.0,
2019-03-31,0.7360377,1.0,
2019-04-01,0.8061669,1.0,
2019-04-02,0.5642337,1.0,
2019-04-03,0.5642337,1.0,
2019-04-04,0.76174146,1.0,
2019-04-05,0.7405646,1.0,
2019-04-06,0.70557505,1.0,
2019-04-07,0.66081417,1.0,
2019-04-08,0.46371368,1.0,
2019-04-09,0.73979276,1.0,
2019-04-10,0.38825446,1.0,
2019-04-11,0.63447285,1.0,
